prompt_name,keywords,prompt_content,prompt_source,language,task_type,Goal,Theme,career
irony yes no,Irony detection,"Is this tweet ironic? Answer with either yes or no.

{{text}}",promptsource,English,closed-ended question,Informational/Identification,irony,social media
irony exam,Irony detection,"In this test, you need to answer with either yes or no.

Q: Is this an ironic tweet?
{{text}}

A:",promptsource,English,closed-ended question,Informational/Identification,irony,social media
irony option,Irony detection,"Does this tweet contain {{""irony""}} or {{""non-irony""}}?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,irony,social media
irony author,Irony detection,"Does this tweet convey the author's irony towards something or someone?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,irony,social media
offensive question,Offensive tweet,"Is this tweet {{""offensive""}}?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,offensive language,social media
offensive tweet removed,Offensive tweet,"Can the tweet be removed for being offensive? Answer with a yes or a no.

{{text}}",promptsource,English,closed-ended question,Informational/Identification,offensive,social media
offensive author,Offensive tweet,"Is the author's tweet offensive? Answer with either yes or no.

{{text}}",promptsource,English,closed-ended question,Informational/Identification,offensive language,social media
offensive task,Offensive tweet,"Task: Identify if the tweet or text is offensive.

Tweet: {{text}}

Possible answers: yes, no",promptsource,English,closed-ended question,Informational/Identification,offensive language,social media
offensive exam,Offensive tweet,"In this test, you need to answer with either yes or no.

Q: Is this an offensive tweet?

{{text}}

A:",promptsource,English,closed-ended question,Informational/Identification,offensive language,social media
sentiment options,Categorize tweet,"{{text}}

Categorize the tweet into one of the following options:
(a) {{answer_choices[0]}}
(b) {{answer_choices[1]}}
(c) {{answer_choices[2]}}",promptsource,English,multiple choice,Informational/Identification,sentiment analysis,all
abortion predict stance,Stance detection,"Does the author express any stance about abortion in the following text?

{{text}}",promptsource,English,reading comprehension,Informational/Identification,abortion,politics
abortion guess passive author,Abortion sentiment,{{text}} Where does the author of the above sentence stand on abortion?,promptsource,English,reading comprehension,Informational/Identification,abortion,politics
abortion option,Abortion stance,"What option among, {{""neutral""}}, {{""against""}}, {{""in favor""}}, best describes the stance of this tweet regarding abortion?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,abortion,politics
abortion,Abortion sentiment,"Is this tweet neutral, in favor of, or against abortion?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,abortion,politics
abortion guess passive,Sentiment analysis,{{text}} Where does the above sentence stand on abortion?,promptsource,English,reading comprehension,Informational/Identification,abortion,politics
atheism guess passive,Sentiment analysis,{{text}} Where does the above sentence stand on atheism?,promptsource,English,reading comprehension,Informational/Identification,atheism,religion
atheism option,Atheism stance,"What option among, {{""neutral""}}, {{""against""}}, {{""in favor""}}, best describes the stance of this tweet regarding atheism?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,atheism,all
atheism predict stance,Atheism stance,"Does the author express any stance about atheism in the following text?

{{text}}",promptsource,English,reading comprehension,Informational/Identification,atheism,all
atheism,Sentiment analysis,"Is this tweet neutral, in favor of, or against atheism?

{{text}}",promptsource,English,sentiment analysis,Informational/Identification,sentiment analysis,all
atheism guess passive author,Atheism sentiment,{{text}} Where does the author of the above sentence stand on atheism?,promptsource,English,reading comprehension,Informational/Identification,atheism,religion
climate option,Climate change stance,"What option among, {{""neutral""}}, {{""against""}}, {{""in favor""}}, best describes the stance of this tweet regarding climate change?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,climate change,politics
climate guess passive,Climate change sentiment,{{text}} Where does the above sentence stand on climate change?,promptsource,English,reading comprehension,Informational/Identification,climate change,politics
climate guess passive author,Climate change sentiment,{{text}} Where does the author of the above sentence stand on climate change?,promptsource,English,reading comprehension,Informational/Identification,climate change,politics
climate predict stance,Climate change stance,"Does the author express any stance about climate change in the following text?

{{text}}",promptsource,English,reading comprehension,Informational/Identification,climate change,news
climate change,Climate change sentiment,"Is this tweet neutral, in favor of, or against climate change?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,climate change,politics
feminism guess passive,Sentiment analysis,{{text}} Where does the above sentence stand on feminism?,promptsource,English,reading comprehension,Informational/Identification,politics,all
feminism option,Feminism stance,"What option among, {{""neutral""}}, {{""against""}}, {{""in favor""}}, best describes the stance of this tweet regarding feminism?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,feminism,social
feminism predict stance,Stance detection,"Does the author express any stance about feminism in the following text?

{{text}}",promptsource,English,reading comprehension,Informational/Identification,feminism,all
feminism,Feminism tweet sentiment,"Is this tweet neutral, in favor of, or against feminism?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,feminism,social
feminism guess passive author,Sentiment analysis,{{text}} Where does the author of the above sentence stand on feminism?,promptsource,English,reading comprehension,Informational/Identification,feminism,all
Hillary predict stance,Stance detection,"Does the author express any stance about Hillary in the following text?

{{text}}",promptsource,English,reading comprehension,Informational/Identification,politics,politics
Hillary option,Stance detection,"What option among, {{""neutral""}}, {{""against""}}, {{""in favor""}}, best describes the stance of this tweet regarding Hillary?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,politics,politics
heres what I found,Question Answering,"I wonder {{question_text}}.
Help me answer this question with ""{{answer_choices[0]}}"" or ""{{answer_choices[1]}}"" or ""{{answer_choices[2]}}"" if none of the first two answers apply.
Here's what I found on the internet:
Topic: {{document_title}}
Article: {{document_plaintext}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
yes no none,Yes No None,"Question: {{question_text}}
Answer the question with ""Yes"" or ""No"". If it is not possible then answer ""None"".
Hint: {{document_plaintext}}",promptsource,English,reading comprehension,Informational/Identification,yes/no,all
open domain qa without choices,Question Answering,Answer the question about {{document_title}}. {{question_text}},promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
read and answer,Answer a question,"Answer the following question with ""{{answer_choices[0]}}"" or ""{{answer_choices[1]}}"" or ""{{answer_choices[2]}}"" if none of the first two answers apply.
Question: {{question_text}}
Topic: {{document_title}}
Article: {{document_plaintext}}",promptsource,English,reading comprehension,Informational/Identification,multiple choice,all
